,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-0.8307626234315131,0.16985945144997588,-4.890882528701532,True
1,liv_rpa,needs_level,0.8386553383909762,0.12097077017723894,6.932710580929839,True
2,liv_rpa,prob_help_adl,-0.239298464628971,0.08135915692242715,-2.9412603778224122,True
3,liv_rpa,help_adl_miss,-0.187276596557392,0.08100273232907898,-2.3119787588962852,True
4,liv_rpa,prob_adl,0.14563020240342195,0.07768324289803853,1.8746668775731432,True
5,liv_rpa,adl_miss,0.07683735111256332,0.0755536002421144,1.0169912600635191,True
6,liv_rpa,ln_income,-0.042265616936747324,0.039442006842718716,-1.0715889053335497,True
7,liv_ri,constant,-0.382492229500176,0.5167277902785543,-0.7402199701587261,True
8,liv_ri,needs_level,0.9028481748832192,0.44578643550640895,2.025293061816905,True
9,liv_ri,prob_help_adl,-0.4292451741443772,0.20678358994549093,-2.075818367683471,True
10,liv_ri,help_adl_miss,-0.35895344439345794,0.20956687428190163,-1.712834843881896,True
11,liv_ri,prob_adl,0.01356344149094321,0.19645429868475345,0.06904120490999391,True
12,liv_ri,adl_miss,0.04981212764103726,0.18735906359397372,0.2658645206990639,True
13,liv_ri,ln_income,-0.0013142791353243258,0.09911043472640696,-0.013260754419576262,True
14,liv_chsld,constant,-1.3412400400575828,0.4049636148122998,-3.312001352712258,True
15,liv_chsld,needs_level,2.2488936793149144,0.35299675461184965,6.370862196134825,True
16,liv_chsld,prob_help_adl,-0.6130001757481355,0.1450411023471716,-4.226389387753363,True
17,liv_chsld,help_adl_miss,-0.626609805454365,0.16786930140636325,-3.7327242098751756,True
18,liv_chsld,prob_adl,0.10138303942249635,0.14128693150112473,0.717568414469312,True
19,liv_chsld,adl_miss,-0.019418394520555545,0.1455614258117399,-0.13340343715559705,True
20,liv_chsld,ln_income,-0.0666307749840126,0.07229628269088696,-0.9216348684053639,True
21,sup_pri,constant,-0.4218804407499336,0.21831709449361777,-1.9324205542789812,True
22,sup_pri,needs_level,0.055732020034947025,0.12695066604452834,0.4390053378325628,True
23,sup_pri,prob_help_adl,-0.0977116763216376,0.10098909665839285,-0.9675467902456688,True
24,sup_pri,help_adl_miss,-0.06769697132095916,0.10331115309458591,-0.6552726331394211,True
25,sup_pri,prob_adl,-0.05607818876105658,0.09856510462870521,-0.5689456625882268,True
26,sup_pri,adl_miss,-0.04779480918764824,0.09671111855882678,-0.4942018032660427,True
27,sup_pri,ln_income,0.11320894709565961,0.05175732416376989,2.1873029358597686,True
28,sup_npf,constant,-0.021536618680477168,0.23004664605631453,-0.09361848585788592,True
29,sup_npf,needs_level,-0.0839496027497659,0.14195229494932127,-0.5913930646893518,True
30,sup_npf,prob_help_adl,-0.15010025135043148,0.10838827915087358,-1.384838402513024,True
31,sup_npf,help_adl_miss,-0.04891179237306415,0.11645926691814745,-0.41999055693388015,True
32,sup_npf,prob_adl,0.03752890967604467,0.1060646575366018,0.3538304893229287,True
33,sup_npf,adl_miss,0.12840841598557673,0.10893541010967588,1.1787573559074638,True
34,sup_npf,ln_income,0.021588453683103005,0.056285468204372927,0.38355288446238345,True
35,svc_inf,constant,-1.8432835187979246,0.6331084902871837,-2.911481281765459,True
36,svc_inf,needs_level,-1.7454063566682982,0.43701472711684436,-3.9939302919684674,True
37,svc_inf,prob_help_adl,0.6153718118090941,0.23141659376021617,2.6591516269862465,True
38,svc_inf,help_adl_miss,-0.989335747000329,0.5738773899159735,-1.7239496874849634,True
39,svc_inf,prob_adl,0.1503900575079441,0.2703059422868601,0.5563697795009767,True
40,svc_inf,adl_miss,0.5874532743894082,0.22229954368083873,2.642620244119035,True
41,svc_inf,ln_income,0.25601388593762975,0.141448747807809,1.8099409850236647,True
42,svc_avq,constant,-1.898982509217698,0.6779177955954638,-2.8011987907024705,True
43,svc_avq,needs_level,-0.8202271614154036,0.4473203158401061,-1.8336461197273062,True
44,svc_avq,prob_help_adl,-0.4684203103050856,0.3204015838796043,-1.4619787600085694,True
45,svc_avq,help_adl_miss,-1.142319370064847,0.5302333199151636,-2.154371155414405,True
46,svc_avq,prob_adl,0.4292292161517599,0.31502385683073486,1.3625292397533835,True
47,svc_avq,adl_miss,0.6941640269764914,0.2567143959339499,2.7040323330955425,True
48,svc_avq,ln_income,0.15192384261765068,0.16075413518791207,0.9450695774641238,True
49,svc_avd,constant,-2.1339173849536155,0.4783344193292543,-4.461141198966837,True
50,svc_avd,needs_level,-1.2798565034000737,0.315069142795394,-4.062144874121212,True
51,svc_avd,prob_help_adl,0.6011201801462968,0.18127680009753042,3.3160348142888805,True
52,svc_avd,help_adl_miss,0.33643160925676396,0.24733418343219213,1.3602309417492966,True
53,svc_avd,prob_adl,-0.07217086128203792,0.18929344306542792,-0.381264454348229,True
54,svc_avd,adl_miss,-0.7937671088313357,0.29791856527219235,-2.664376112667275,True
55,svc_avd,ln_income,0.36181964224050017,0.11359605662610954,3.185142627189909,True
56,cons,constant,-1.7620374099693639,0.5022163862175478,-3.508522338827257,True
57,cons,needs_level,-0.9173261459061658,0.40011943060977034,-2.292630839017709,True
58,cons,prob_help_adl,0.32696497453827617,0.21367895761731132,1.5301692697502514,True
59,cons,help_adl_miss,-0.09629997642974739,0.20909865258174257,-0.46054804868769306,True
60,cons,prob_adl,-0.2994313589067271,0.2351802369029135,-1.2731994952039172,True
61,cons,adl_miss,0.3244608967519558,0.18500508611259403,1.753794468950378,True
62,cons,ln_income,0.38264411069984994,0.1524700143888525,2.5096351714375262,True
63,wait,constant,-4.375896853168119,1.9671466969301061,-2.2244893377789596,True
